13;12;map11;https://cdn.shopify.com/s/files/1/0610/2846/6850/products/jpg1000-1708-7974_26a31ff6-df2e-4117-b32c-29d84e20b1ea_800x.jpg?v=1678364745https://cdn.shopify.com/s/files/1/0610/2846/6850/products/jpg1000-1708-7974_26a31ff6-df2e-4117-b32c-29d84e20b1ea_800x.jpg?v=1678364745;2147483647;0
1;1;1;1;1;1;1;1;1;1;1;1;1;
1;1;1;1;1;1;1;1;w;1;1;1;1;
1;1;1;w;1;1;1;1;1;w;1;1;1;
1;1;1;w;1;1;1;1;1;1;w;1;1;
1;1;w;1;1;1;1;1;1;1;1;1;1;
1;1;1;w;1;1;1;1;1;1;1;1;1;
1;1;w;1;1;1;1;1;1;1;1;1;1;
1;1;1;1;1;1;1;1;1;1;1;1;1;
1;1;1;1;1;1;1;1;w;1;1;1;1;
1;1;1;1;1;1;1;w;1;1;1;1;1;
1;1;1;1;1;1;w;1;1;1;1;1;1;
1;1;1;1;1;1;1;1;1;1;1;1;1;
